all_words	flexion	grammar	definition	translation	used	example	semem_links	idiom	derivation	word
http://www.makedonski.info/show/да/сврз	 	 Вид збор: Сврзник 	 NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING 	 Англиски: to NEXT_MEANING Англиски: if NEXT_MEANING Англиски: without NEXT_MEANING Англиски: and NEXT_MEANING Англиски: even NEXT_MEANING Англиски: to NEXT_MEANING NEXT_MEANING Англиски: and 	 Архаизам 	 Јас да бев на ваше место, би молчела и би работела. NEXT_MEANING Да знаев што ме чека, ќе размислев подобро. 	 	 8. Во реченици кога второто дејство произлегува од првото (па, та). Англиски: and Употреба: Архаизам Примери: Таа не дојде, да затоа не сторивме ништо. Таа само зборуваше, да од неа до збор не можеше да дојде. 		да, сврз
http://www.makedonski.info/show/да/чест	 	 Вид збор: Честичка 	 NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING 	 Англиски: yes NEXT_MEANING Англиски: yes NEXT_MEANING Англиски: yes NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING 		 Да, така е. 	 	 8. Во клетви, при негодување. Примери: Да пукнеш! Да не станеш од место! 		да, чест
http://www.makedonski.info/show/даан/изв	 	 Вид збор: Извик 	 	 			 			даан, изв
http://www.makedonski.info/show/даб/м	 мн. дабови 	 Вид збор: Именка, машки род 	 Вид: дрво (ср.) 	 Латински: Quercus Англиски: oak Албански: dushk 	 Ботаника 		 Вид: дрво (ср.) 		 1. дапче ср. мн. дапчиња дем.NEXT_MEANING 2. дабиште ср. мн. дабишта аугм.	даб, м
http://www.makedonski.info/show/дабар/м	 мн. дабри 	 Вид збор: Именка, машки род 	 Вид: глодач (м.) 	 Латински: Castor fiber Англиски: beaver 	 Зоологија 		 Вид: глодач (м.) 			дабар, м
http://www.makedonski.info/show/дабјак/м	 мн. дабјаци 	 Вид збор: Именка, машки род 	 	 	 Екологија 		 			дабјак, м
http://www.makedonski.info/show/даблика/ж	 мн. даблики 	 Вид збор: Именка, женски род 	 	 	 Ботаника 		 			даблика, ж
http://www.makedonski.info/show/дабов/прид	 дабовиот 	 Вид збор: Придавка 	 	 Англиски: oaken 			 			дабов, прид
http://www.makedonski.info/show/дабовина/ж	 мн. дабовини 	 Вид збор: Именка, женски род 	 	 Англиски: oak wood 			 			дабовина, ж
http://www.makedonski.info/show/дабовица/ж	 мн. дабовици 	 Вид збор: Именка, женски род 	 	 			 			дабовица, ж
http://www.makedonski.info/show/дабрава/ж	 мн. дабрави 	 Вид збор: Именка, женски род 	 Слично со: шума (ж.) 	 Англиски: forest 	 Екологија 		 Слично со: шума (ж.) 			дабрава, ж
http://www.makedonski.info/show/дабровина/ж	 (едн.) 	 Вид збор: Именка, женски род 	 	 Англиски: beaver fur 						дабровина, ж
http://www.makedonski.info/show/даванија/ж	 (едн.) 	 Вид збор: Именка, женски род 	 Слично со: давачка (ж.) 	 Англиски: tax Албански: harxhime, tatim 	 Архаизам NEXT_MEANING Економија 		 Слично со: давачка (ж.) 			даванија, ж
http://www.makedonski.info/show/даванина/ж	 мн. даванини 	 Вид збор: Именка, женски род 	 	 	 Архаизам 					даванина, ж
http://www.makedonski.info/show/даваница/ж	 мн. даваници 	 Вид збор: Именка, женски род 	 NEXT_MEANING Слично со: давање (ср.) 	 Англиски: tax Албански: të dhëna, taksa NEXT_MEANING Англиски: giving Албански: dhënie 			 			даваница, ж
http://www.makedonski.info/show/давател/м	 мн. даватели 	 Вид збор: Именка, машки род 	 	 Англиски: giver 			 			давател, м
http://www.makedonski.info/show/давач/м	 мн. давачи 	 Вид збор: Именка, машки род 	 	 Англиски: giver 		 Давач на пари. NEXT_MEANING Давач на помош. 				давач, м
http://www.makedonski.info/show/давачка/ж	 мн. давачки 	 Вид збор: Именка, женски род 	 Слично со: давач (м.) NEXT_MEANING Слично со: давање (ср.) NEXT_MEANING Слично со: издаток (м.) , трошок (м.) NEXT_MEANING Слично со: данок (м.) , намет (м.) , порез (м.) 	 Англиски: giver Албански: dhënëse NEXT_MEANING Англиски: giving Албански: e dhënë NEXT_MEANING Англиски: expenditure Албански: harxhim NEXT_MEANING Англиски: tax Албански: taksë, tatim 	 Економија NEXT_MEANING Економија 		 Слично со: давач (м.) 			давачка, ж
