all_words	flexion	grammar	definition	translation	used	example	semem_links	idiom	derivation	word
http://www.makedonski.info/show/а/сврз	 	 Вид збор: Сврзник 	 NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING Слично со: или (сврз.) NEXT_MEANING Слично со: штом (сврз.) 	 Англиски: and NEXT_MEANING Англиски: and NEXT_MEANING NEXT_MEANING Англиски: even NEXT_MEANING NEXT_MEANING NEXT_MEANING Англиски: either NEXT_MEANING Англиски: as soon 		 Таа не дојде, а тоа беше вистинска навреда. 	 	 8. За нагласување на наизменично вршење на дејства, за временско сопоставување. Англиски: as soon Примери: А ќе стане, а ќе почне да се лути. Слично со: штом (сврз.) 		а, сврз
http://www.makedonski.info/show/а/чест	 	 Вид збор: Честичка 	 NEXT_MEANING 	 Англиски: and NEXT_MEANING Англиски: and 		 А, има ли човек што не згрешил? 	 			а, чест
http://www.makedonski.info/show/аба/ж	 мн. аби 	 Вид збор: Именка, женски род 	 Слично со: шајак (м.) Вид: ткаенина (ж.) NEXT_MEANING Вид: облека (ж.) 	 Англиски: abaya Турски: aba Албански: shajak, zhgun NEXT_MEANING Англиски: abaya Албански: zhgun 	 Архаизам NEXT_MEANING Архаизам 	 Облечени во црни аби. 	 Слично со: шајак (м.) Вид: ткаенина (ж.) 			аба, ж
http://www.makedonski.info/show/абажур/м	 мн. абажури 	 Вид збор: Именка, машки род 	 	 Англиски: lampshade Турски: abajur Албански: abazhur 			 			абажур, м
http://www.makedonski.info/show/абаџија/м	 мн. абаџии 	 Вид збор: Именка, машки род 	 Вид: кројач (м.) 	 Турски: abacı Албански: zhguntar 	 Архаизам 		 Вид: кројач (м.) 		 абаџиски прид. абаџискиот	абаџија, м
http://www.makedonski.info/show/абдал/м	 мн. абдали 	 Вид збор: Именка, машки род 	 Слично со: будала (ж.) , глупак (м.) 	 Англиски: jerk Турски: aptal Албански: avdall, budalla 	 Архаизам NEXT_MEANING Груб збор 		 Слично со: будала (ж.) , глупак (м.) 		 абдаллак м. мн. абдаллаци глупост Пример: Тоа се ваши абдаллаци.	абдал, м
http://www.makedonski.info/show/абдикација/ж	 (едн.) 	 Вид збор: Именка, женски род 	 Слично со: оставка (ж.) 	 Латински: abdicatio Англиски: abdication Албански: abdikim 			 Слично со: оставка (ж.) 			абдикација, ж
http://www.makedonski.info/show/абдицира/св.%20и%20несв	 абдицираат 	 Вид збор: Глагол, свршен и несвршен 	 Слично со: откажува (несв.) 	 Англиски: abdicate Албански: abdikoj 			 Слично со: откажува (несв.) 		 абдицирање ср. глаг. им. 	абдицира, св. и несв
http://www.makedonski.info/show/абдомен/м	 мн. абдомени 	 Вид збор: Именка, машки род 	 Слично со: стомак (м.) , мев (м.) 	 Латински: abdomen Англиски: abdomen Албански: abdomen, bark 	 Анатомија 		 Слично со: стомак (м.) , мев (м.) 			абдомен, м
http://www.makedonski.info/show/абдоминален/прид	 абдоминалниот 	 Вид збор: Придавка 	 Слично со: стомачен (прид.) 	 Англиски: abdominal Албански: abdominal 	 Анатомија 		 Слично со: стомачен (прид.) 			абдоминален, прид
http://www.makedonski.info/show/абер/м	 мн. абери 	 Вид збор: Именка, машки род 	 NEXT_MEANING Слично со: поим (м.) , сознание (ср.) 	 Англиски: news Турски: haber Албански: lajm NEXT_MEANING Англиски: notion 		 Од математика абер немаше. 	 			абер, м
http://www.makedonski.info/show/аберација/ж	 мн. аберации 	 Вид збор: Именка, женски род 	 Слично со: отстапување (ср.) NEXT_MEANING Слично со: девијација (ж.) , неприродност (ж.) 	 Англиски: abberation Албански: shmangie NEXT_MEANING Англиски: deviation Албански: devijim 	 Медицина 		 Слично со: отстапување (ср.) 			аберација, ж
http://www.makedonski.info/show/аберџија/м	 мн. аберџии 	 Вид збор: Именка, машки род 	 Слично со: гласник (м.) 	 Англиски: messenger Турски: haberci 	 Разговорно 		 Слично со: гласник (м.) 			аберџија, м
http://www.makedonski.info/show/абецеда/ж	 (едн.) 	 Вид збор: Именка, женски род 	 Слично со: алфабет (м.) NEXT_MEANING 	 Англиски: alphabet Албански: alfabeti NEXT_MEANING Англиски: alphabet Албански: alfabeti 	 Литература NEXT_MEANING Преносно значење 	 абецеда на медицината NEXT_MEANING абецеда на автомобилизмот 	 Слично со: алфабет (м.) 			абецеда, ж
http://www.makedonski.info/show/абецедар/м	 мн. абецедари 	 Вид збор: Именка, машки род 	 	 Англиски: directory 			 			абецедар, м
http://www.makedonski.info/show/абецеден/прид	 абецедниот 	 Вид збор: Придавка 	 Слично со: алфабетски (прид.) NEXT_MEANING Слично со: прв (прид.) , основен (прид.) 	 Англиски: alphabetic NEXT_MEANING Англиски: basic 	 Преносно значење 	 абецедни норми на етиката 	 Слично со: алфабетски (прид.) 			абецеден, прид
http://www.makedonski.info/show/аби/несв	 абат 	 Вид збор: Глагол, несвршен 	 Слично со: арчи (несв.) , ветвее (св. и несв.) , троши (несв.) NEXT_MEANING Слично со: тапи (несв.) NEXT_MEANING Слично со: истроши (св.) NEXT_MEANING Слично со: отапи (св.) 	 Англиски: wear out Албански: hahet, soset NEXT_MEANING Англиски: blunt Албански: topit NEXT_MEANING Англиски: wear out Албански: hahet, harxhohet NEXT_MEANING Англиски: blunt Албански: topit 		 Не аби го ножот. 	 Слично со: арчи (несв.) , ветвее (св. и несв.) , троши (несв.) 		 абење ср. глаг. им. 	аби, несв
http://www.makedonski.info/show/абиогенеза/ж	 (едн.) 	 Вид збор: Именка, женски род 	 	 Англиски: abiogenesis 	 Биологија 		 			абиогенеза, ж
http://www.makedonski.info/show/абнормален/прид	 абнормалниот 	 Вид збор: Придавка 	 Слично со: неправилен (прид.) , ненормален (прид.) , анормален (прид.) Спротивно од: нормален (прид.) NEXT_MEANING Слично со: ненормален (прид.) , луд (прид.) 	 Англиски: abnormal Албански: jonormal NEXT_MEANING 	 Медицина 	 Тој е параноиден и абнормален човек. 	 Слично со: неправилен (прид.) , ненормален (прид.) , анормален (прид.) Спротивно од: нормален (прид.) 		 1. абнормално прил. Пример: Се однесува абнормално.NEXT_MEANING 2. абнормалност ж.	абнормален, прид
http://www.makedonski.info/show/аболира/св.%20и%20несв	 аболираат 	 Вид збор: Глагол, свршен и несвршен 	 Слично со: амнестира (св. и несв.) 	 Англиски: pardon 	 Правда 		 Слично со: амнестира (св. и несв.) 		 аболирање ср. глаг. им. 	аболира, св. и несв
http://www.makedonski.info/show/аболиција/ж	 (едн.) аболицијата 	 Вид збор: Именка, женски род 	 Слично со: помилување (ср.) 	 Англиски: abolition 	 Правда 		 Слично со: помилување (ср.) 			аболиција, ж
http://www.makedonski.info/show/А-бомба/ж	 	 Вид збор: Именка, женски род 	 Вид: оружје (ср.) 	 Англиски: A-bomb 	 Воен термин 		 Вид: оружје (ср.) 			А-бомба, ж
http://www.makedonski.info/show/абонамент/м	 мн. абонаменти 	 Вид збор: Именка, машки род 	 Слично со: претплата (ж.) 	 Англиски: subscription 			 Слично со: претплата (ж.) 			абонамент, м
http://www.makedonski.info/show/абонација/ж	 мн. абонации 	 Вид збор: Именка, женски род 	 Слично со: претплата (ж.) 	 Англиски: subscription Албански: abonim 	 Економија 		 Слично со: претплата (ж.) 			абонација, ж
http://www.makedonski.info/show/абонент/м	 мн. абоненти 	 Вид збор: Именка, машки род 	 Слично со: претплатник (м.) 	 Англиски: subscriber 	 Економија 		 Слично со: претплатник (м.) 			абонент, м
http://www.makedonski.info/show/абонентски/прид	 абонентскиот 	 Вид збор: Придавка 	 Слично со: претплатнички (прид.) 	 	 Економија 	 абонентски чек NEXT_MEANING абонентски внес 				абонентски, прид
http://www.makedonski.info/show/абонира/св.%20и%20несв	 абонираат 	 Вид збор: Глагол, свршен и несвршен 	 	 Англиски: subscribe 			 		 абонирање ср. глаг. им.	абонира, св. и несв
http://www.makedonski.info/show/абонос/м	 мн. абоноси 	 Вид збор: Именка, машки род 	 	 Латински: ebenaceae Англиски: ebony Турски: abanoz 			 			абонос, м
http://www.makedonski.info/show/абоносов/прид	 абоносовиот 	 Вид збор: Придавка 	 	 Англиски: ebony 			 			абоносов, прид
http://www.makedonski.info/show/абортира/св.%20и%20несв	 абортираат 	 Вид збор: Глагол, свршен и несвршен 	 NEXT_MEANING Слично со: пометне (св.) 	 Латински: aboriri Англиски: perform an abortion Албански: aborton NEXT_MEANING Латински: aboriri Англиски: have an abortion Албански: aborton 		 Таа абортира по едно ненадејно паѓање. 	 		 абортирање ср. глаг. им. 	абортира, св. и несв
http://www.makedonski.info/show/абортус/м	 мн. абортуси 	 Вид збор: Именка, машки род 	 Слично со: пометнување (ср.) 	 Латински: abortus Англиски: abortion 	 Медицина 		 Слично со: пометнување (ср.) 			абортус, м
http://www.makedonski.info/show/абразив/м	 мн. абразиви 	 Вид збор: Именка, машки род 	 	 Англиски: abrasive 			 			абразив, м
http://www.makedonski.info/show/абразивен/прид	 абразивниот 	 Вид збор: Придавка 	 	 Англиски: abrasive 		 Абразивни средства за чистење во домаќинството. 				абразивен, прид
http://www.makedonski.info/show/абразија/ж	 мн. абразии 	 Вид збор: Именка, женски род 	 NEXT_MEANING 	 Англиски: abrasion NEXT_MEANING Англиски: abrasion 	 Геологија 		 			абразија, ж
http://www.makedonski.info/show/абраш/м	 мн. абраши 	 Вид збор: Именка, машки род 	 NEXT_MEANING Вид: коњ (м.) 	 Турски: abraş NEXT_MEANING 	 Зоологија 		 			абраш, м
http://www.makedonski.info/show/абрашест/прид	 абрашестиот 	 Вид збор: Придавка 	 	 Турски: abraşlı 						абрашест, прид
http://www.makedonski.info/show/абрашлив/прид	 абрашливиот 	 Вид збор: Придавка 	 	 Англиски: spotted Турски: abraşli 			 			абрашлив, прид
