all_words	flexion	grammar	definition	translation	used	example	semem_links	idiom	derivation	word
http://www.makedonski.info/show/у/предл	 	 Вид збор: Предлог 	 Слично со: во (предл.) , каде (предл.) 	 	 Дијалектен збор 		 Слично со: во (предл.) , каде (предл.) 			у, предл
http://www.makedonski.info/show/у/изв	 	 Вид збор: Извик 	 NEXT_MEANING 	 NEXT_MEANING 		 У, страшно! 	 			у, изв
http://www.makedonski.info/show/уа/изв	 	 Вид збор: Извик 	 	 			 			уа, изв
http://www.makedonski.info/show/уапе/св	 уапат 	 Вид збор: Глагол, свршен 	 	 Англиски: bite 			 			уапе, св
http://www.makedonski.info/show/уапсен/прид	 уапсени 	 Вид збор: Придавка 	 	 Англиски: jailed 	 Правда 	 Уапсените студенти се ослободени. 			 уапсен м. Пример: Земјата ја зафати бран на меѓуетнички судири во кои има повредени, уапсени и голема материјална штета.	уапсен, прид
http://www.makedonski.info/show/уапси/св	 уапсат 	 Вид збор: Глагол, свршен 	 Слично со: затвори (св.) 	 Англиски: arrest 	 Правда 		 Слично со: затвори (св.) 			уапси, св
http://www.makedonski.info/show/уапсува/несв	 уапсуваат 	 Вид збор: Глагол, несвршен 	 	 Англиски: arrest 						уапсува, несв
http://www.makedonski.info/show/уапува/несв	 уапуваат 	 Вид збор: Глагол, несвршен 	 Слично со: касне (св.) 	 Англиски: bite 						уапува, несв
http://www.makedonski.info/show/уапување/ср	 	 Вид збор: Именка, среден род 	 	 Англиски: bite 						уапување, ср
http://www.makedonski.info/show/убав/прид	 убави 	 Вид збор: Придавка 	 Слично со: привлечен (прид.) , строен (прид.) , личен (прид.) Спротивно од: неубав (прид.) , грозен (прид.) NEXT_MEANING Слично со: складен (прид.) NEXT_MEANING Слично со: складен (прид.) , благозвучен (прид.) Спротивно од: неубав (прид.) NEXT_MEANING Слично со: добар (прид.) Спротивно од: лош (прид.) NEXT_MEANING Слично со: примерен (прид.) Спротивно од: непримерен (прид.) NEXT_MEANING NEXT_MEANING NEXT_MEANING Слично со: доходен (прид.) NEXT_MEANING Слично со: задоволителен (прид.) Спротивно од: незадоволителен (прид.) NEXT_MEANING Слично со: пријатен (прид.) Спротивно од: непријатен (прид.) NEXT_MEANING 	 Англиски: beautiful Албански: i bukur NEXT_MEANING Англиски: beautiful Албански: i bukur NEXT_MEANING Англиски: pleasant Албански: i bukur NEXT_MEANING Англиски: good Албански: i mirë, i pëlqyeshëm NEXT_MEANING Англиски: laudable Албански: i lavdërueshëm NEXT_MEANING Англиски: good NEXT_MEANING Англиски: good Албански: i mirë NEXT_MEANING Англиски: nice Албански: i leverdishëm NEXT_MEANING Англиски: good Албански: i mirë NEXT_MEANING Англиски: beautiful Албански: i bukur NEXT_MEANING Англиски: best Албански: gjithë të mirat 	 Иронично 	 убав коњ, убави цвеќиња, убава куќа NEXT_MEANING Фазанот е многу убава птица. 	 Слично со: привлечен (прид.) , строен (прид.) , личен (прид.) Спротивно од: неубав (прид.) , грозен (прид.) 	 8. Што носи придобивка, ќар. Англиски: nice Албански: i leverdishëm Примери: убав занает, убава служба убава работа Слично со: доходен (прид.) 		убав, прид
http://www.makedonski.info/show/убавее/несв	 убавеат 	 Вид збор: Глагол, несвршен 	 Слично со: личнее (несв.) , разубавува (несв.) NEXT_MEANING 	 Албански: bëhet i bukur NEXT_MEANING Албански: bëhet i bukur, shëndritë 		 Види ја нашата градина како се убавее. 	 Слично со: личнее (несв.) , разубавува (несв.) 			убавее, несв
http://www.makedonski.info/show/убавеење/ср	 	 Вид збор: Именка, среден род 	 	 						убавеење, ср
http://www.makedonski.info/show/убавест/прид	 убавичка 	 Вид збор: Придавка 	 	 Англиски: pretty 	 Народна поезија 		 			убавест, прид
http://www.makedonski.info/show/убавец/м	 мн. убавци 	 Вид збор: Именка, машки род 	 NEXT_MEANING 	 Англиски: beauty Албански: bukurosh NEXT_MEANING Англиски: beauty Албански: bukuri 	 Преносно значење 		 			убавец, м
http://www.makedonski.info/show/убавина/ж	 мн. убавини 	 Вид збор: Именка, женски род 	 NEXT_MEANING Слично со: доблест (ж.) NEXT_MEANING 	 Англиски: beauty Албански: bukuri NEXT_MEANING Англиски: virtue Албански: vyrtit, mirësi NEXT_MEANING Албански: bukuri 		 Тој е човек со сите убавини во себе. 	 			убавина, ж
http://www.makedonski.info/show/убавица/ж	 мн. убавици 	 Вид збор: Именка, женски род 	 	 Англиски: beauty 			 			убавица, ж
http://www.makedonski.info/show/убавичок/прид	 убавичка 	 Вид збор: Придавка 	 	 Англиски: pretty 			 			убавичок, прид
http://www.makedonski.info/show/убавка/прид	 убавко 	 Вид збор: Придавка 	 	 Англиски: pretty 			 			убавка, прид
http://www.makedonski.info/show/убавко/прил	 	 Вид збор: Прилог 	 	 Англиски: pretty 			 			убавко, прил
http://www.makedonski.info/show/убаво/чест	 	 Вид збор: Честичка 	 NEXT_MEANING 	 Англиски: beautiful NEXT_MEANING Англиски: nice 	 Иронично 	 Убаво и јас мислам така. 				убаво, чест
http://www.makedonski.info/show/убаво/прил	 	 Вид збор: Прилог 	 Слично со: привлечно (прил.) NEXT_MEANING Слично со: многу (прил.) NEXT_MEANING Слично со: многу (прил.) 	 Англиски: attractive Албански: mirë NEXT_MEANING Англиски: pleasant Албански: këndshëm NEXT_MEANING Англиски: plenty Албански: bukur, mirë 		 Убаво изгледаш. 				убаво, прил
http://www.makedonski.info/show/убавост/ж	 убавоста 	 Вид збор: Именка, женски род 	 	 Англиски: beauty 						убавост, ж
http://www.makedonski.info/show/убавото/ср	 (едн.) 	 Вид збор: Именка, среден род 	 	 Англиски: beauty 		 убавото во нас 				убавото, ср
http://www.makedonski.info/show/убарачи/св	 убарачат 	 Вид збор: Глагол, свршен 	 	 Англиски: spell 	 Дијалектен збор 		 			убарачи, св
http://www.makedonski.info/show/убарачува/несв	 убарачуваат 	 Вид збор: Глагол, несвршен 	 	 Англиски: spell 						убарачува, несв
http://www.makedonski.info/show/убеден/прид	 убедени 	 Вид збор: Придавка 	 	 Англиски: convinced 		 убеден противник на колонијализмот NEXT_MEANING убеден приврзаник 				убеден, прид
http://www.makedonski.info/show/убедено/прил	 	 Вид збор: Прилог 	 	 						убедено, прил
http://www.makedonski.info/show/убеденост/ж	 (едн.) убеденоста 	 Вид збор: Именка, женски род 	 	 Англиски: conviction 			 			убеденост, ж
http://www.makedonski.info/show/убеди/св	 убедат 	 Вид збор: Глагол, свршен 	 Слично со: увери (св.) NEXT_MEANING Слично со: наговори (св.) NEXT_MEANING 	 Англиски: convince Албански: bind NEXT_MEANING Англиски: persuade Албански: bind NEXT_MEANING Англиски: convince Албански: bindem 		 Го убеди да не гради стан. 	 Слично со: увери (св.) 			убеди, св
http://www.makedonski.info/show/убедлив/прид	 убедливи 	 Вид збор: Придавка 	 Спротивно од: неубедлив (прид.) NEXT_MEANING 	 Англиски: convincing NEXT_MEANING Англиски: convincing 		 убедлив доказ NEXT_MEANING убедлива победа 				убедлив, прид
http://www.makedonski.info/show/убедливо/прил	 	 Вид збор: Прилог 	 	 Англиски: convincingly 						убедливо, прил
http://www.makedonski.info/show/убедливост/ж	 (едн.) убедливоста 	 Вид збор: Именка, женски род 	 	 			 			убедливост, ж
http://www.makedonski.info/show/убедува/несв	 убедуваат 	 Вид збор: Глагол, несвршен 	 NEXT_MEANING 	 Англиски: persuade Албански: bind NEXT_MEANING Англиски: convince Албански: bind 		 Го убедуваа да не го менува работното место. 				убедува, несв
http://www.makedonski.info/show/убедување/ср	 	 Вид збор: Именка, среден род 	 NEXT_MEANING 	 Англиски: persuasion Албански: bindje NEXT_MEANING Англиски: conviction Албански: bindje 						убедување, ср
http://www.makedonski.info/show/убедувачки/прид	 убедувачка 	 Вид збор: Придавка 	 	 Англиски: persuasive 			 			убедувачки, прид
http://www.makedonski.info/show/убива/несв	 убиваат 	 Вид збор: Глагол, несвршен 	 NEXT_MEANING Слично со: самоубие (св.) 	 Англиски: kill Албански: vras NEXT_MEANING Англиски: kill himself Албански: vetvritet 			 			убива, несв
http://www.makedonski.info/show/убивање/ср	 	 Вид збор: Именка, среден род 	 	 Англиски: killing 			 			убивање, ср
http://www.makedonski.info/show/убие/св	 убијат 	 Вид збор: Глагол, свршен 	 Слично со: усмрти (св.) NEXT_MEANING Слично со: уништи (св.) NEXT_MEANING Слично со: упропасти (св.) NEXT_MEANING NEXT_MEANING Слично со: повреди (св.) NEXT_MEANING Слично со: усмрти (св.) NEXT_MEANING Слично со: утепа (св.) NEXT_MEANING Слично со: повреди (св.) 	 Англиски: kill Албански: vras NEXT_MEANING Англиски: damage Албански: dëmtoj NEXT_MEANING Англиски: destroy Албански: mbys, shkatrroj NEXT_MEANING Англиски: suppress Албански: pres, shuaj NEXT_MEANING Англиски: injure Албански: vras, lëndoj NEXT_MEANING Англиски: commit suicide Албански: mbytem, vritem NEXT_MEANING Англиски: toil Албански: mbys, këpus NEXT_MEANING Англиски: hurt Албански: vras, lëndoj 	 Преносно значење NEXT_MEANING Преносно значење 	 Градот ги уби полињата. NEXT_MEANING Мразот ги уби посевите. 	 Слично со: усмрти (св.) 	 8. (се убие) се повреди Англиски: hurt Албански: vras, lëndoj Примери: Се убив во ногата. Слично со: повреди (св.) 		убие, св
http://www.makedonski.info/show/убиен/прид	 	 Вид збор: Придавка 	 NEXT_MEANING Слично со: очаен (прид.) NEXT_MEANING Слично со: повреден (прид.) 	 Англиски: killed NEXT_MEANING Англиски: desperate NEXT_MEANING Англиски: wounded 	 Преносно значење 	 Се врати дома скинат и убиен. 	 			убиен, прид
http://www.makedonski.info/show/убиец/м	 мн. убијци 	 Вид збор: Именка, машки род 	 	 Англиски: murderer 			 			убиец, м
http://www.makedonski.info/show/убиствен/прид	 убиствени 	 Вид збор: Придавка 	 Слично со: смртоносен (прид.) NEXT_MEANING Слично со: штетен (прид.) 	 Англиски: murderous NEXT_MEANING Англиски: damaging 	 Преносно значење 	 Убиствена работа. 	 Слично со: смртоносен (прид.) 			убиствен, прид
http://www.makedonski.info/show/убиствено/прил	 	 Вид збор: Прилог 	 	 Англиски: murderously 						убиствено, прил
http://www.makedonski.info/show/убиственост/ж	 	 Вид збор: Именка, женски род 	 	 			 			убиственост, ж
http://www.makedonski.info/show/убиство/ср	 мн. убиства 	 Вид збор: Именка, среден род 	 NEXT_MEANING Слично со: смрт (ж.) 	 Англиски: murder Албански: vrasje NEXT_MEANING Англиски: death Албански: vdekje 	 Правда NEXT_MEANING Преносно значење 	 Насилното мажење е за неа убиство. NEXT_MEANING Тоа е за мене убиство. 	 			убиство, ср
http://www.makedonski.info/show/ублажен/прид	 ублажени 	 Вид збор: Придавка 	 	 						ублажен, прид
http://www.makedonski.info/show/ублажи/св	 ублажат 	 Вид збор: Глагол, свршен 	 Слично со: облажи (св.) NEXT_MEANING Слично со: смири (св.) NEXT_MEANING Слично со: намали (св.) NEXT_MEANING NEXT_MEANING Слично со: смири (св.) 	 Англиски: sweeten Албански: ëmbëlsoj NEXT_MEANING Англиски: soothe Албански: qetësoj NEXT_MEANING Англиски: reduce Албански: zvogëloj NEXT_MEANING Албански: ëmbëlsoj NEXT_MEANING Англиски: calm Албански: qetësoj 	 Гастрономија 	 Треба да се ублажат болките. 	 Слично со: облажи (св.) 			ублажи, св
http://www.makedonski.info/show/ублажува/несв	 ублажуваат 	 Вид збор: Глагол, несвршен 	 Слично со: облажува (несв.) NEXT_MEANING Слично со: смирува (несв.) NEXT_MEANING Слично со: намалува (несв.) NEXT_MEANING NEXT_MEANING 	 Англиски: sweeten Албански: ëmbëlsoj NEXT_MEANING Англиски: soothe Албански: qetësoj NEXT_MEANING Англиски: reduce Албански: zvogëlon NEXT_MEANING Англиски: sweeten Албански: zbus NEXT_MEANING Англиски: quieten Албански: qetësoj 						ублажува, несв
http://www.makedonski.info/show/ублажување/ср	 	 Вид збор: Именка, среден род 	 Слично со: засладување (ср.) NEXT_MEANING Слично со: смирување (ср.) NEXT_MEANING Слично со: намалување (ср.) 	 Англиски: sweetening Албански: zbutje NEXT_MEANING Англиски: relief Албански: zbutje NEXT_MEANING Англиски: reduction Албански: zvoglim 						ублажување, ср
http://www.makedonski.info/show/убод/м	 мн. убоди 	 Вид збор: Именка, машки род 	 Слично со: убод (м.) 	 Англиски: stab 			 Слично со: убод (м.) 			убод, м
http://www.makedonski.info/show/убоде/св	 убодат 	 Вид збор: Глагол, свршен 	 NEXT_MEANING 	 Англиски: stab Албански: therje, sëmbim NEXT_MEANING Англиски: stab Албански: therje 			 			убоде, св
http://www.makedonski.info/show/убодува/несв	 убодуваат 	 Вид збор: Глагол, несвршен 	 NEXT_MEANING 	 Англиски: stab Албански: therr NEXT_MEANING Англиски: stab himself Албански: therrem 						убодува, несв
http://www.makedonski.info/show/убои/св	 (се) убојат 	 Вид збор: Глагол, свршен 	 Слично со: исплаши (св.) 	 Англиски: frighten 			 Слично со: исплаши (св.) 			убои, св
http://www.makedonski.info/show/убојува/несв	 (се) убојуваат 	 Вид збор: Глагол, несвршен 	 	 Англиски: frighten 			 			убојува, несв
http://www.makedonski.info/show/уболни/св	 (се) уболнат 	 Вид збор: Глагол, свршен 	 	 Англиски: fall ill 	 Медицина NEXT_MEANING Народна поезија 		 			уболни, св
http://www.makedonski.info/show/убори/св	 уборат 	 Вид збор: Глагол, свршен 	 Слично со: кутне (св.) 	 Англиски: bring down 	 Народна поезија 		 Слично со: кутне (св.) 			убори, св
http://www.makedonski.info/show/убосник/м	 мн. убосници 	 Вид збор: Именка, машки род 	 	 Англиски: beau 	 Дијалектен збор 					убосник, м
http://www.makedonski.info/show/убосница/ж	 	 Вид збор: Именка, женски род 	 	 Англиски: beauty 						убосница, ж
